Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00
04/01/2019	Biomass	FINAL	975.5	10.1	10.1	10.1	10.1	10.1	10.0	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.5	9.6	9.5	9.6	9.6	9.6	9.5	9.6	9.7	9.9	9.7	9.6	9.9	10.0	10.0	10.0	10.2	10.3	10.5	10.6	10.7	10.7	10.7	10.6	10.3	10.3	10.2	10.0	9.1	9.0	8.9	8.9	8.7	8.6	8.5	8.9	9.3	9.9	10.2	10.1	10.2	10.7	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.6	10.7	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	10.7	10.7	10.7	10.7	10.8
04/01/2019	Coal	FINAL	204,156.6	1,917.6	1,876.6	1,863.2	1,867.3	1,866.4	1,866.7	1,859.6	1,862.9	1,861.0	1,859.1	1,844.6	1,844.3	1,855.6	1,860.1	1,861.0	1,864.9	1,868.4	1,865.7	1,876.4	1,893.5	1,918.9	1,983.1	2,046.7	2,117.0	2,136.6	2,156.8	2,209.2	2,250.1	2,293.2	2,311.3	2,325.1	2,334.6	2,359.0	2,365.2	2,374.7	2,371.8	2,375.8	2,397.3	2,401.5	2,418.9	2,419.5	2,419.0	2,382.5	2,377.5	2,371.0	2,316.0	2,306.9	2,335.9	2,319.6	2,268.1	2,261.8	2,268.1	2,224.1	2,169.9	2,107.4	2,076.6	2,084.9	2,069.4	2,009.0	2,018.6	2,012.7	2,000.3	1,980.2	2,001.7	2,013.8	2,035.6	2,031.1	2,070.6	2,084.9	2,141.4	2,178.9	2,182.5	2,220.5	2,250.1	2,291.2	2,304.5	2,321.5	2,326.0	2,334.6	2,364.6	2,361.7	2,360.6	2,368.2	2,338.6	2,338.6	2,325.5	2,346.3	2,304.8	2,183.8	2,071.9	1,981.4	1,913.9	1,822.3	1,746.8	1,667.9	1,590.6
04/01/2019	Gas	FINAL	93,847.4	908.4	928.5	878.1	886.8	822.7	801.2	784.9	764.9	769.2	776.9	789.3	806.2	822.7	844.1	816.8	842.2	892.6	972.3	994.9	1,041.7	1,000.4	1,015.2	1,111.8	1,233.0	1,346.1	1,486.2	1,590.5	1,706.0	1,776.5	1,790.0	1,715.6	1,692.0	1,674.3	1,687.8	1,632.0	1,576.0	1,460.3	1,388.2	1,276.3	1,227.3	1,173.4	1,089.7	1,043.0	1,005.7	966.7	917.4	911.9	907.0	915.0	904.9	902.4	897.4	904.8	909.2	907.8	910.6	907.2	903.7	893.5	890.0	878.9	875.2	874.2	873.9	870.6	872.9	870.1	871.1	872.9	872.2	865.6	870.2	859.9	863.8	839.2	838.6	841.5	845.9	914.2	1,013.5	1,092.8	1,098.0	1,094.2	999.5	877.4	813.5	704.9	664.5	654.3	575.2	508.3	446.1	409.2	367.1	335.4	331.2
04/01/2019	Gas-CC	FINAL	411,158.2	3,986.7	3,971.5	3,991.7	3,974.2	3,999.3	4,015.1	4,034.7	4,053.8	4,059.9	4,076.0	4,095.7	4,117.2	4,127.8	4,134.9	4,139.0	4,167.8	4,166.7	4,191.8	4,198.5	4,223.7	4,356.4	4,493.0	4,563.6	4,633.3	4,804.5	4,886.1	4,929.0	4,964.4	4,963.1	4,949.9	4,945.5	4,886.4	4,856.4	4,817.8	4,803.2	4,777.1	4,786.4	4,802.0	4,770.4	4,762.8	4,787.6	4,797.8	4,795.1	4,757.9	4,773.1	4,749.0	4,682.6	4,576.8	4,480.4	4,448.9	4,361.5	4,311.6	4,273.2	4,232.4	4,216.8	4,216.2	4,149.2	4,132.4	4,105.3	4,075.7	4,037.3	4,023.4	4,022.9	4,051.1	4,049.3	4,076.9	4,076.0	4,092.0	4,118.6	4,126.3	4,138.1	4,147.8	4,115.4	4,119.8	4,181.9	4,238.7	4,273.1	4,348.2	4,432.6	4,467.0	4,491.5	4,497.2	4,486.4	4,431.6	4,376.4	4,250.9	4,116.1	3,944.8	3,859.6	3,797.7	3,652.9	3,429.8	3,282.6	3,139.9	3,008.8	2,855.0
04/01/2019	Hydro	FINAL	2,623.4	15.0	14.8	14.8	14.8	19.6	20.1	20.0	20.0	13.9	13.6	13.7	13.7	13.6	13.6	13.6	13.6	20.7	20.5	20.5	20.5	32.9	33.7	33.6	33.6	33.1	33.0	33.4	32.9	49.7	49.2	49.5	49.3	49.6	49.3	49.5	49.1	49.2	49.6	49.6	48.5	32.7	32.4	32.5	32.4	32.3	32.3	32.3	32.3	32.3	32.1	32.4	31.4	24.1	24.2	24.2	24.2	24.2	24.1	24.1	24.0	22.2	22.2	22.3	22.2	22.2	22.2	22.2	22.1	22.3	22.2	22.1	22.3	22.2	22.2	22.2	22.4	39.7	40.0	40.1	38.6	29.0	29.0	28.8	28.6	24.4	24.4	24.4	24.4	16.0	15.9	15.8	15.8	15.8	15.7	15.7	15.7
04/01/2019	Nuclear	FINAL	118,957.9	1,242.0	1,241.7	1,242.1	1,242.0	1,241.5	1,241.6	1,241.6	1,241.5	1,241.5	1,241.2	1,241.2	1,241.4	1,240.5	1,239.9	1,240.3	1,240.2	1,240.6	1,239.9	1,240.0	1,239.9	1,239.7	1,240.2	1,240.0	1,239.8	1,239.7	1,239.1	1,239.4	1,239.5	1,239.3	1,238.9	1,239.5	1,239.0	1,239.3	1,238.9	1,239.3	1,238.7	1,238.7	1,239.3	1,239.1	1,239.2	1,239.0	1,238.8	1,238.9	1,239.0	1,238.4	1,238.6	1,237.9	1,238.4	1,238.6	1,238.7	1,238.6	1,238.6	1,238.7	1,238.7	1,238.7	1,238.5	1,238.8	1,238.2	1,238.6	1,238.7	1,238.1	1,238.3	1,238.9	1,238.8	1,238.4	1,238.6	1,238.9	1,238.4	1,238.9	1,238.8	1,238.4	1,238.6	1,238.3	1,238.4	1,238.4	1,238.9	1,238.6	1,238.5	1,238.8	1,238.4	1,238.1	1,238.2	1,238.0	1,238.1	1,238.2	1,237.9	1,238.0	1,238.0	1,237.8	1,237.8	1,237.7	1,237.7	1,237.8	1,237.7	1,237.7	1,237.7
04/01/2019	Other	FINAL	67.1	0.2	0.2	0.8	0.4	0.4	0.5	0.6	-0.5	-0.2	-0.3	0.5	0.1	0.4	-0.7	0.9	0.1	1.0	-1.4	0.3	-0.3	0.3	0.6	0.6	-0.3	1.1	-0.6	0.3	0.2	0.2	-0.3	0.3	-0.1	0.4	-0.2	0.0	-0.2	0.5	-0.2	0.2	-0.2	0.1	-0.2	-0.6	1.6	-1.9	0.3	0.2	-0.2	0.1	-0.2	-0.1	-0.9	0.7	-0.2	1.0	-0.2	0.6	0.1	1.1	-0.2	0.0	0.8	1.3	0.2	-0.6	0.0	0.7	-0.2	1.1	-0.6	-0.4	1.4	0.2	0.1	0.1	0.7	0.0	0.6	-0.1	0.2	31.1	20.4	-1.1	1.1	0.6	0.0	0.0	0.5	0.4	0.2	0.4	1.6	-0.1	0.7	-1.0	0.1
04/01/2019	Solar	FINAL	14,639.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	4.5	27.5	71.8	120.2	175.3	267.9	304.8	325.2	331.0	333.1	337.3	339.0	343.8	348.3	354.5	361.4	360.5	360.8	363.8	367.6	371.0	379.2	387.1	387.4	387.6	391.4	391.5	392.1	394.6	393.6	392.5	391.1	389.9	388.2	377.3	369.9	359.2	363.3	343.8	335.1	339.2	323.0	294.9	233.4	169.2	84.7	67.7	35.0	7.6	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04/01/2019	Wind	FINAL	62,645.1	470.2	439.6	435.8	407.2	398.2	403.3	399.5	396.6	392.6	384.3	360.4	327.2	290.5	278.0	311.0	324.7	334.9	330.2	355.2	371.6	374.2	395.5	410.4	405.7	402.1	409.2	441.9	447.2	470.9	451.4	462.1	482.3	470.9	443.4	412.8	390.8	392.5	376.2	438.9	479.3	513.6	551.3	594.4	628.3	647.9	672.5	704.1	716.0	723.7	714.6	724.7	721.1	721.1	734.3	727.1	706.4	702.2	706.3	713.8	707.5	697.3	691.2	662.9	627.5	591.8	574.5	548.3	532.6	496.1	465.3	443.4	445.7	428.5	422.8	416.1	427.3	435.9	442.6	455.1	482.4	519.0	581.2	676.9	774.8	911.0	1,055.0	1,173.1	1,309.4	1,448.5	1,566.8	1,740.2	1,910.6	2,059.2	2,203.6	2,341.3	2,487.4
04/02/2019	Biomass	FINAL	969.6	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.8	10.7	10.7	10.7	10.1	9.2	9.1	9.0	8.7	8.7	8.7	8.7	8.7	9.3	10.2	10.2	10.2	10.2	10.5	10.4	10.6	10.6	10.4	9.4	9.5	9.3	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	8.8	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.8	8.7	9.1	9.6	10.3	10.2	10.3	10.5	10.5	10.5	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.9	10.9	10.9	10.8	10.5	10.5	10.5	10.5	10.5	10.5	10.6	10.5	10.5	10.4
