Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00	01:15 (DST)	01:30 (DST)	01:45 (DST)	02:00 (DST)
11/01/2020	Biomass	FINAL	849.8	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.2	8.2	8.3	8.2	8.2	8.3	8.2	8.3	8.3	8.3	8.3	8.3	8.5	8.7	8.7	8.7	8.7	8.7	8.7	8.5	8.3	8.4	8.4	8.0	8.2	8.1	8.0	8.3	8.6	8.6	8.6	8.4	8.3	8.3	8.2	8.2	8.2	8.2	8.3	8.7	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.5	8.4	8.4	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.6	8.5	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.5	8.3	8.3	8.3	8.3	8.3	8.6	8.6	8.6	8.6
11/01/2020	Coal	FINAL	193,136.3	1,822.6	1,778.8	1,779.0	1,763.0	1,736.2	1,721.4	1,714.1	1,683.2	1,629.5	1,575.9	1,563.3	1,580.6	1,614.8	1,593.1	1,547.2	1,507.6	1,493.9	1,467.1	1,494.5	1,578.0	1,686.6	1,730.8	1,733.4	1,749.1	1,783.6	1,813.3	1,827.6	1,844.3	1,876.3	1,900.1	1,893.8	1,906.4	1,978.2	2,081.1	2,125.1	2,144.4	2,176.6	2,194.0	2,208.6	2,218.0	2,212.8	2,201.7	2,202.1	2,222.2	2,224.3	2,230.7	2,236.2	2,231.8	2,219.5	2,220.2	2,219.0	2,201.6	2,189.3	2,186.8	2,191.9	2,204.8	2,214.7	2,220.0	2,209.1	2,217.7	2,215.9	2,221.4	2,222.1	2,210.7	2,197.0	2,186.4	2,191.1	2,201.8	2,180.6	2,144.4	2,113.3	2,076.1	2,074.7	2,069.9	2,071.3	2,080.5	2,092.0	2,097.9	2,107.3	2,099.8	2,106.3	2,105.1	2,104.8	2,091.6	1,936.0	1,785.0	1,768.3	1,759.2	1,722.6	1,664.6	1,586.2	1,514.5	1,477.5	1,473.9	1,422.6	1,344.0	1,693.7	1,651.6	1,650.0	1,652.7
11/01/2020	Gas	FINAL	53,660.6	156.9	166.8	168.4	168.6	154.4	144.4	144.9	146.6	149.7	156.8	161.1	165.1	163.5	162.0	161.8	161.7	160.6	160.1	159.7	166.6	176.5	186.3	187.7	202.8	224.4	236.9	252.5	262.9	273.7	273.9	272.5	271.7	267.0	262.7	261.8	264.5	268.0	270.1	266.5	265.6	270.5	270.3	271.0	268.7	284.4	291.1	301.7	321.3	342.5	352.2	374.3	430.9	462.8	484.7	534.7	592.8	615.4	695.4	722.9	737.1	780.5	821.0	883.6	955.4	1,028.8	1,091.3	1,161.2	1,279.8	1,418.4	1,533.5	1,640.5	1,710.2	1,714.5	1,668.1	1,587.8	1,486.7	1,346.0	1,227.9	1,142.5	1,125.9	1,012.5	918.0	850.7	812.9	803.9	760.4	724.3	697.8	629.3	594.3	583.6	577.3	534.4	428.2	392.4	390.9	148.7	148.8	147.9	148.5
11/01/2020	Gas-CC	FINAL	294,112.3	2,721.4	2,616.9	2,471.1	2,297.1	2,183.6	2,101.6	2,086.9	2,067.6	1,985.2	1,959.7	1,992.9	1,994.6	2,008.6	1,988.2	2,038.1	2,058.7	2,053.0	2,037.0	2,057.9	2,092.3	2,106.9	2,111.6	2,178.9	2,242.3	2,324.3	2,408.8	2,463.7	2,493.5	2,543.1	2,572.4	2,585.1	2,634.0	2,664.9	2,640.1	2,627.2	2,674.3	2,707.0	2,762.6	2,806.8	2,863.0	2,891.4	2,937.8	2,987.8	3,069.1	3,144.5	3,222.8	3,244.3	3,281.3	3,372.7	3,400.5	3,437.3	3,493.7	3,534.5	3,535.8	3,565.2	3,565.8	3,560.2	3,566.4	3,545.6	3,525.6	3,551.0	3,549.5	3,565.5	3,593.1	3,608.6	3,615.5	3,641.2	3,697.4	3,664.8	3,695.4	3,734.0	3,741.9	3,796.5	3,782.2	3,750.4	3,723.2	3,697.7	3,649.0	3,629.0	3,612.2	3,595.0	3,560.7	3,492.6	3,433.3	3,578.2	3,646.7	3,539.9	3,390.8	3,256.9	3,173.5	3,075.8	3,000.5	2,998.2	2,980.4	2,899.5	2,846.9	2,068.2	2,056.4	2,067.9	2,046.9
11/01/2020	Hydro	FINAL	738.8	2.4	2.4	2.4	2.4	2.7	2.7	2.7	2.7	3.0	3.0	3.0	3.0	3.2	3.3	3.3	3.3	3.4	3.4	3.4	3.4	3.4	3.5	3.5	3.6	3.8	3.9	3.9	3.9	3.8	3.8	3.6	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.6	3.6	11.6	11.7	11.7	11.7	13.6	13.6	13.6	12.7	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.6	3.8	9.5	9.7	9.7	9.6	9.3	9.3	9.3	9.4	9.3	9.5	9.5	9.4	9.4	9.5	9.4	9.4	20.0	20.1	20.2	20.1	26.8	26.9	26.9	26.3	17.9	17.3	17.3	16.3	7.2	7.4	7.6	7.2	3.2	3.2	3.2	3.2	2.8	2.8	2.8	2.8
11/01/2020	Nuclear	FINAL	95,516.1	955.5	955.7	955.7	955.6	955.4	955.6	956.3	955.8	955.4	955.3	955.2	956.0	956.1	956.3	955.6	956.1	955.9	956.1	956.7	956.8	956.9	956.4	956.4	956.4	956.1	956.3	956.7	957.5	957.6	957.8	957.6	957.6	957.8	957.8	957.8	957.8	956.3	956.1	955.5	955.9	956.2	956.0	956.1	955.9	955.9	955.3	955.2	954.8	954.8	954.8	954.8	954.5	954.5	954.6	954.2	954.5	954.3	953.6	954.5	955.1	955.3	953.8	953.1	953.6	952.9	953.2	953.4	953.1	952.9	954.2	954.1	954.0	954.2	953.4	953.1	953.1	953.9	953.4	953.5	954.7	953.8	953.3	954.5	953.6	953.7	954.1	953.9	953.6	954.7	954.6	954.2	954.4	954.4	954.4	954.2	954.7	955.1	955.4	955.7	955.9
11/01/2020	Other	FINAL	41.5	1.4	-0.4	0.4	1.4	-0.3	0.1	-0.5	1.1	1.1	1.5	-1.1	0.7	-0.7	-0.4	-0.5	1.0	0.0	0.1	0.2	-0.1	0.5	0.6	0.2	0.6	0.1	0.6	0.7	0.8	0.0	0.4	0.9	0.5	1.3	0.2	-0.1	1.0	-0.8	0.8	0.1	1.1	-1.0	0.2	1.6	-0.9	-0.3	-0.1	0.6	3.2	-1.5	1.0	3.1	1.3	-0.5	1.7	1.0	1.5	0.4	0.6	0.6	0.6	-0.3	0.7	-0.7	0.7	-0.3	0.1	0.6	1.4	0.9	0.0	-0.2	0.8	1.6	0.7	0.8	0.9	1.1	0.4	1.0	0.0	0.6	0.3	0.4	2.0	0.1	-0.1	0.7	0.7	0.5	0.8	0.1	1.3	-2.1	-1.6	-0.1	0.5	-0.9	0.1	1.0	-0.4
11/01/2020	Solar	FINAL	27,579.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	9.8	48.7	145.7	267.9	402.6	540.1	684.0	725.5	770.5	746.7	738.2	716.7	746.0	749.4	759.0	775.3	797.4	815.1	848.7	855.9	853.4	845.4	833.6	823.5	823.1	843.0	848.6	857.5	843.3	806.6	814.1	824.8	777.0	763.4	770.1	720.6	675.3	577.5	472.1	331.5	205.5	95.9	28.1	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11/01/2020	Wind	FINAL	186,952.3	2,320.2	2,394.9	2,495.7	2,597.3	2,649.0	2,661.7	2,663.8	2,669.5	2,735.6	2,797.2	2,792.1	2,792.5	2,799.0	2,832.5	2,839.4	2,859.9	2,851.6	2,926.8	2,919.6	2,861.1	2,813.2	2,796.9	2,783.8	2,742.2	2,709.1	2,650.9	2,579.9	2,553.8	2,531.1	2,512.2	2,473.2	2,356.3	2,195.7	2,056.1	1,923.9	1,850.7	1,809.3	1,794.6	1,764.6	1,735.1	1,707.4	1,683.4	1,627.2	1,551.9	1,474.5	1,392.8	1,337.6	1,296.6	1,247.8	1,188.3	1,162.9	1,125.7	1,102.0	1,074.2	1,011.8	984.1	962.8	926.0	921.7	933.4	939.8	915.0	878.1	842.7	836.9	857.5	846.5	798.4	755.4	751.9	781.5	839.4	927.3	1,011.5	1,094.2	1,180.9	1,287.3	1,392.1	1,473.8	1,512.8	1,572.4	1,629.1	1,673.5	1,702.9	1,711.5	1,735.3	1,765.7	1,847.8	1,950.8	2,017.1	2,084.5	2,115.6	2,145.6	2,177.0	2,224.6	2,274.9	2,637.1	2,652.1	2,647.0	2,661.0
11/02/2020	Biomass	FINAL	811.7	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.4	8.3	8.4	8.4	8.4	8.4	8.4	8.4	8.4	8.4	8.4	8.4	8.4	8.5	8.3	8.4	8.4	8.1	8.1	8.1	8.1	8.1	7.8	8.0	7.9	7.8	8.0	8.2	8.4	8.4	8.4	7.7	7.8	7.7	7.5	7.7	7.6	7.9	7.8	7.9	8.0	8.2	8.4	8.4	8.3	8.3	8.3	8.4	8.4	8.4	8.5	8.7	8.8	8.6	8.5	8.7	8.7	8.6	8.8	8.7	8.5	8.6	8.7	8.9	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.8	8.7	8.8	8.8	8.7				
